school_name,9th,10th,11th,12th,Average
Pena High School,83.81,83.61,84.34,84.59,84.09
Wilson High School,83.94,84.02,83.76,84.32,84.01
Cabrera High School,83.68,84.25,83.79,84.29,84.00
Wright High School,83.83,83.81,84.16,84.07,83.97
Holden High School,83.68,83.32,83.82,84.70,83.88
Thomas High School,83.73,84.25,83.59,83.83,83.85
Griffin High School,83.37,83.71,84.29,84.01,83.84
Shelton High School,84.12,83.44,84.37,82.78,83.68
Figueroa High School,81.20,81.41,80.64,81.38,81.16
Huang High School,81.29,81.51,81.42,80.31,81.13
Bailey High School,81.30,80.91,80.95,80.91,81.02
Johnson High School,81.26,80.77,80.62,81.23,80.97
Hernandez High School,80.87,80.66,81.40,80.86,80.95
Ford High School,80.63,81.26,80.40,80.66,80.74
Rodriguez High School,80.99,80.63,80.86,80.38,80.72
