school_name,9th,10th,11th,12th,Average
Pena High School,83.63,83.37,84.33,84.12,83.86
Holden High School,83.79,83.43,85.00,82.86,83.77
Wright High School,83.26,84.01,83.84,83.64,83.69
Thomas High School,83.59,83.09,83.50,83.50,83.42
Shelton High School,83.42,82.92,83.38,83.78,83.38
Griffin High School,82.04,84.23,83.84,83.36,83.37
Wilson High School,83.09,83.72,83.20,83.04,83.26
Cabrera High School,83.09,83.15,82.77,83.28,83.07
Hernandez High School,77.44,77.34,77.14,77.19,77.27
Johnson High School,77.19,76.69,77.49,76.86,77.06
Ford High School,77.36,77.67,76.92,76.18,77.03
Bailey High School,77.08,77.00,77.52,76.49,77.02
Rodriguez High School,76.86,76.61,76.40,77.69,76.89
Figueroa High School,76.40,76.54,76.88,77.15,76.74
Huang High School,77.03,75.91,76.45,77.23,76.65
